"1017583@aspc1602.onmicrosoft.com",,,"Devil Dinosaur (Devil Dinosaur)"
"1017102@aspc1602.onmicrosoft.com",,,"Devil Dinosaur (HAS)"
"1011142@aspc1602.onmicrosoft.com",,,"Devos"
"1011260@aspc1602.onmicrosoft.com",,,"Dexter Bennett"
"1009273@aspc1602.onmicrosoft.com",,,"Diablo"
"1009274@aspc1602.onmicrosoft.com",,,"Diamondback (Rachel Leighton)"
"1011040@aspc1602.onmicrosoft.com",,,"Dinah Soar"
"1010997@aspc1602.onmicrosoft.com",,,"Dirk Anger"
"1009275@aspc1602.onmicrosoft.com",,,"Doc Samson"
"1009281@aspc1602.onmicrosoft.com",,,"Doctor Doom"
"1011103@aspc1602.onmicrosoft.com",,,"Doctor Doom (Ultimate)"
"1011206@aspc1602.onmicrosoft.com",,,"Doctor Faustus"
"1009276@aspc1602.onmicrosoft.com",,,"Doctor Octopus"
"1010921@aspc1602.onmicrosoft.com",,,"Doctor Octopus (Ultimate)"
"1010689@aspc1602.onmicrosoft.com",,,"Doctor Spectrum"
"1009282@aspc1602.onmicrosoft.com",,,"Doctor Strange"
"1011358@aspc1602.onmicrosoft.com",,,"Doctor Strange (Ultimate)"
"1011235@aspc1602.onmicrosoft.com",,,"Dog Brother #1"
"1009277@aspc1602.onmicrosoft.com",,,"Domino"
"1010330@aspc1602.onmicrosoft.com",,,"Donald Blake"
"1009278@aspc1602.onmicrosoft.com",,,"Doomsday Man"
"1009279@aspc1602.onmicrosoft.com",,,"Doop"
"1010879@aspc1602.onmicrosoft.com",,,"Doorman"
"1011195@aspc1602.onmicrosoft.com",,,"Dorian Gray"
"1009280@aspc1602.onmicrosoft.com",,,"Dormammu"
"1014992@aspc1602.onmicrosoft.com",,,"Dormammu (Ultimate)"
"1017300@aspc1602.onmicrosoft.com",,,"Dr. Strange (Marvel: Avengers Alliance)"
"1010677@aspc1602.onmicrosoft.com",,,"Dracula"
"1011247@aspc1602.onmicrosoft.com",,,"Dragon Lord"
"1009283@aspc1602.onmicrosoft.com",,,"Dragon Man"
"1010735@aspc1602.onmicrosoft.com",,,"Drax"
"1010368@aspc1602.onmicrosoft.com",,,"Dreadnoughts"
"1015007@aspc1602.onmicrosoft.com",,,"Dreaming Celestial"
"1011322@aspc1602.onmicrosoft.com",,,"Druig"
"1009284@aspc1602.onmicrosoft.com",,,"Dum Dum Dugan"
"1009285@aspc1602.onmicrosoft.com",,,"Dust"
"1009286@aspc1602.onmicrosoft.com",,,"Earthquake"
"1010785@aspc1602.onmicrosoft.com",,,"Echo"
"1010787@aspc1602.onmicrosoft.com",,,"Eddie Brock"
"1009396@aspc1602.onmicrosoft.com",,,"Eddie Lau"
"1010999@aspc1602.onmicrosoft.com",,,"Edward "Ted" Forrester"
"1011072@aspc1602.onmicrosoft.com",,,"Edwin Jarvis"
"1011060@aspc1602.onmicrosoft.com",,,"Ego"
"1009287@aspc1602.onmicrosoft.com",,,"Electro"
"1010922@aspc1602.onmicrosoft.com",,,"Electro (Ultimate)"
"1009288@aspc1602.onmicrosoft.com",,,"Elektra"
"1010923@aspc1602.onmicrosoft.com",,,"Elektra (Ultimate)"
"1010355@aspc1602.onmicrosoft.com",,,"Elements of Doom"
"1009290@aspc1602.onmicrosoft.com",,,"Elite"
"1011082@aspc1602.onmicrosoft.com",,,"Elixir"
"1011122@aspc1602.onmicrosoft.com",,,"Elloe Kaifi"
"1010701@aspc1602.onmicrosoft.com",,,"Elsa Bloodstone"
"1009310@aspc1602.onmicrosoft.com",,,"Emma Frost"
"1009291@aspc1602.onmicrosoft.com",,,"Empath"
"1009292@aspc1602.onmicrosoft.com",,,"Emplate"
"1010671@aspc1602.onmicrosoft.com",,,"Enchantress (Amora)"
"1011432@aspc1602.onmicrosoft.com",,,"Enchantress (Sylvie Lushton)"
"1011313@aspc1602.onmicrosoft.com",,,"Ender Wiggin"
"1010445@aspc1602.onmicrosoft.com",,,"Energizer"
"1011065@aspc1602.onmicrosoft.com",,,"Epoch"
"1009293@aspc1602.onmicrosoft.com",,,"Erik the Red"
"1010807@aspc1602.onmicrosoft.com",,,"Eternals"
"1011061@aspc1602.onmicrosoft.com",,,"Eternity"
"1010771@aspc1602.onmicrosoft.com",,,"Excalibur"
"1009294@aspc1602.onmicrosoft.com",,,"Exiles"
"1009295@aspc1602.onmicrosoft.com",,,"Exodus"
"1009296@aspc1602.onmicrosoft.com",,,"Expediter"
"1011199@aspc1602.onmicrosoft.com",,,"Ezekiel"
